id,title,work_type,zone_id,start_at,end_at,description,uses_flammable_material,gas_measurement_completed,ventilation_confirmed,watcher_assigned,status
W023,용접공장 1 취부 용접,HOT_WORK,WELD_SHOP_1,2026-03-17T09:00:00+09:00,2026-03-17T11:00:00+09:00,취부 후 용접,,,,,REVIEWED
W024,용접공장 1 공구 점검,OTHER,WELD_SHOP_1,2026-03-17T10:00:00+09:00,2026-03-17T12:00:00+09:00,수공구 점검,false,,,,DRAFT
W025,탱크 A 내부 청소,CONFINED_SPACE,TANK_A,2026-03-18T08:00:00+09:00,2026-03-18T12:00:00+09:00,탱크 내부 잔유 청소,,true,true,true,REVIEWED
W026,탱크 B 내부 점검,CONFINED_SPACE,TANK_B,2026-03-18T08:00:00+09:00,2026-03-18T12:00:00+09:00,탱크 내부 육안 점검,,,true,true,DRAFT
W027,1도크 이중저 내부 작업,CONFINED_SPACE,DOCK_1,2026-03-18T08:00:00+09:00,2026-03-18T12:00:00+09:00,이중저 내부 정리,,false,true,true,DRAFT
W028,2도크 코퍼댐 내부 점검,CONFINED_SPACE,DOCK_2,2026-03-18T09:00:00+09:00,2026-03-18T13:00:00+09:00,코퍼댐 내부 점검,,true,,true,DRAFT
W029,의장 1구역 밀폐탱크 정비,CONFINED_SPACE,OUTFIT_1,2026-03-18T09:00:00+09:00,2026-03-18T13:00:00+09:00,밀폐 탱크 내부 정비,,true,false,true,DRAFT
W030,의장 2구역 밀폐공간 배관 점검,CONFINED_SPACE,OUTFIT_2,2026-03-18T10:00:00+09:00,2026-03-18T14:00:00+09:00,밀폐공간 배관 점검,,true,true,,DRAFT
W031,조립장 1 밀폐부 검사,CONFINED_SPACE,ASSEMBLY_1,2026-03-18T10:00:00+09:00,2026-03-18T14:00:00+09:00,밀폐부 비파괴 검사,,true,true,false,DRAFT
W032,조립장 2 밀폐블록 내부 작업,CONFINED_SPACE,ASSEMBLY_2,2026-03-18T08:00:00+09:00,2026-03-18T16:00:00+09:00,밀폐 블록 내부 작업,,,,,DRAFT
W033,A블록 1구역 밀폐구역 작업,CONFINED_SPACE,A_BLOCK_1,2026-03-18T08:00:00+09:00,2026-03-18T16:00:00+09:00,밀폐구역 내부 작업,,false,false,false,DRAFT
W034,A블록 2구역 자재 이송,OTHER,A_BLOCK_2,2026-03-18T09:00:00+09:00,2026-03-18T11:00:00+09:00,블록 자재 이송,false,,,,REVIEWED
W035,도장공장 중도 도장,PAINTING,PAINT_SHOP,2026-03-18T09:00:00+09:00,2026-03-18T12:00:00+09:00,중도 도장 작업,,,,,DRAFT
W036,용접공장 1 부재 용접,HOT_WORK,WELD_SHOP_1,2026-03-18T09:00:00+09:00,2026-03-18T12:00:00+09:00,부재 맞대기 용접,,,,,REVIEWED
W037,1도크 도료 자재 반입,OTHER,DOCK_1,2026-03-18T14:00:00+09:00,2026-03-18T16:00:00+09:00,도료 자재 반입,true,,,,DRAFT
W038,조립장 1 야간 도장,PAINTING,ASSEMBLY_1,2026-03-16T16:00:00+09:00,2026-03-16T18:00:00+09:00,야간 도장 작업,,,,,DRAFT
W039,의장 1구역 용제 세척,SOLVENT_WORK,OUTFIT_1,2026-03-16T13:00:00+09:00,2026-03-16T15:00:00+09:00,유기용제 표면 세척,,,,,DRAFT
W040,탱크 A 자재 반입,OTHER,TANK_A,2026-03-16T13:00:00+09:00,2026-03-16T15:00:00+09:00,탱크 주변 자재 반입,,,,,REVIEWED
